0.27298,0.30334,0.025716,0.54684,0,0,0.1195,0,0,0,1.1668,0.24191,0.037061,0.36362,0,0,0,0.866,0,0,0,0,0,0,0.63278,0,0,0,0,0
0,0.43942,1.277,1.0127,0,1.3349,0.045199,0.50572,1.0182,0.23247,0,0,2.0095,0.92984,0,0.014764,0,1.3529,0,0,0,0.49268,0,0,0,0,0,0.016637,1.0245,0
0.59158,0,2.3195,0.21761,0,0.50991,0,0,0,0,0,0.64739,0,0.14145,0,0.12434,0.45846,0,0.63747,0.019511,0,0,0,0.055567,0.0649,0,0.71152,0,0.97223,0
0,0.062127,0.84334,0,0,0,0.043088,0.078527,0,0.99155,0.042359,0.081457,0.0609,0.014552,0,0.049363,0,0.61491,0,0.0058754,0.015556,0,0.13756,0,0,0,0,0,0,0.069896
0,0.23622,0.18329,0,2.6783,0.13144,0,0.98664,0.28297,0,0.20464,0,0,1.0977,0.75937,0,0.74272,0.084545,0.16018,1.0486,0,0.17884,0,0,0.095697,0,0.1241,0,0.48889,0.098103
0.084613,0.071179,0,0,0,0.063149,0.037275,0,0,0,1.2052,0,0,0.1398,0.020651,0,0,0.097335,0.46179,0.059142,0,1.982,0,1.0303,1.0573,0,0.027271,1.1213,0.097737,0
0,0,0.44126,0,0.12825,1.0824,0.27114,0.20064,1.0679,0.1307,0,0,0.021302,0,0,0,0,1.6062,0,0,0,0,0.031366,0,0,0,0,0,0.18072,0
0,0,0.43658,2.6672,0.6559,0.62043,0.50224,0,0.079239,0,0,0.0012749,0,0.50884,0.77084,0.41396,0,1.156,0,0,0,0.94367,0,0.0045665,0.624,0,0,0,1.9082,0
0,0.24122,0.40021,1.2347,0.061012,0,0,0.0050965,1.7382,0,0,0,0,1.0661,1.3855,1.04,0.76315,0.90068,0,0,0,0.22009,0,0,1.5883,0.33421,0,0.28426,0.0064056,0
0.47641,0.027603,1.1045,1.7281,0,0,1.4738,1.4637,1.6131,0,2.4022,1.0462,0.11579,0,0,0,0.43066,0,0,0,0.011176,1.0631,0,1.548,0.42441,0.82282,2.0549,0,0,0
0.35037,0,0.51462,0.43557,0.43544,0,0,0.29607,1.1172,0,0,0.6017,0,1.3503,0.41546,1.7821,1.5031,0,0,0.09628,0,0,0,0.10585,0,0,0,0,0.60055,0
0,1.4308,0.31255,0,0,0,0,0.065038,0.1148,0.64374,0.076056,0.02244,0.14663,0.55307,0.04765,0.010652,0,0,0,0,0,0,0.0075215,0.046093,0,0,0.088991,0.35892,0,0.0049352
0,0.19052,2.2366,0,0,0,0.22619,0,0.57397,0,0,0,0,1.3603,0.13061,0,0,1.3598,0.3843,0,0,0.12404,0,0,0.096945,0.97531,0.93971,0,0.95834,0
0,0.015592,0,0,0,0,0,0.12521,0.39233,0,0,0,0.30098,0.23065,0.16183,0,0.32476,0.17318,0.0082793,0.86898,0,0.23939,0.02838,0,0,0.048619,0.061928,0.26237,0,0
0,0,1.8796,1.5037,0,1.0213,0,0,1.6187,0,0,0.047514,0,0.8673,0.61903,1.3193,0,1.5796,0,1.2123,0,0,0,0.40412,0,0,0.09846,1.187,0.18162,0
